413.46%|30.40%|304MiB|1000MiB|project-sb-no-vt-1
413.46%|30.40%|304MiB|1000MiB|project-sb-no-vt-1
367.60%|31.08%|310.8MiB|1000MiB|project-sb-no-vt-1
367.60%|31.08%|310.8MiB|1000MiB|project-sb-no-vt-1
390.21%|31.12%|311.2MiB|1000MiB|project-sb-no-vt-1
390.21%|31.12%|311.2MiB|1000MiB|project-sb-no-vt-1
385.67%|31.15%|311.5MiB|1000MiB|project-sb-no-vt-1
385.67%|31.15%|311.5MiB|1000MiB|project-sb-no-vt-1
393.53%|31.16%|311.6MiB|1000MiB|project-sb-no-vt-1
393.53%|31.16%|311.6MiB|1000MiB|project-sb-no-vt-1
378.09%|31.48%|314.8MiB|1000MiB|project-sb-no-vt-1
378.09%|31.48%|314.8MiB|1000MiB|project-sb-no-vt-1
404.96%|31.78%|317.8MiB|1000MiB|project-sb-no-vt-1
404.96%|31.78%|317.8MiB|1000MiB|project-sb-no-vt-1
382.64%|31.98%|319.8MiB|1000MiB|project-sb-no-vt-1
382.64%|31.98%|319.8MiB|1000MiB|project-sb-no-vt-1
374.03%|32.17%|321.7MiB|1000MiB|project-sb-no-vt-1
374.03%|32.17%|321.7MiB|1000MiB|project-sb-no-vt-1
382.12%|32.44%|324.4MiB|1000MiB|project-sb-no-vt-1
382.12%|32.44%|324.4MiB|1000MiB|project-sb-no-vt-1
388.12%|32.44%|324.4MiB|1000MiB|project-sb-no-vt-1
388.12%|32.44%|324.4MiB|1000MiB|project-sb-no-vt-1
372.20%|32.43%|324.3MiB|1000MiB|project-sb-no-vt-1
372.20%|32.43%|324.3MiB|1000MiB|project-sb-no-vt-1
418.65%|32.47%|324.7MiB|1000MiB|project-sb-no-vt-1
418.65%|32.47%|324.7MiB|1000MiB|project-sb-no-vt-1
410.01%|32.45%|324.5MiB|1000MiB|project-sb-no-vt-1
410.01%|32.45%|324.5MiB|1000MiB|project-sb-no-vt-1
407.78%|32.43%|324.3MiB|1000MiB|project-sb-no-vt-1
407.78%|32.43%|324.3MiB|1000MiB|project-sb-no-vt-1
343.33%|32.71%|327.1MiB|1000MiB|project-sb-no-vt-1
343.33%|32.71%|327.1MiB|1000MiB|project-sb-no-vt-1
319.87%|32.76%|327.6MiB|1000MiB|project-sb-no-vt-1
319.87%|32.76%|327.6MiB|1000MiB|project-sb-no-vt-1
364.50%|32.76%|327.6MiB|1000MiB|project-sb-no-vt-1
364.50%|32.76%|327.6MiB|1000MiB|project-sb-no-vt-1
377.38%|32.78%|327.8MiB|1000MiB|project-sb-no-vt-1
377.38%|32.78%|327.8MiB|1000MiB|project-sb-no-vt-1
387.68%|32.76%|327.6MiB|1000MiB|project-sb-no-vt-1
387.68%|32.76%|327.6MiB|1000MiB|project-sb-no-vt-1
360.99%|32.77%|327.7MiB|1000MiB|project-sb-no-vt-1
360.99%|32.77%|327.7MiB|1000MiB|project-sb-no-vt-1
383.93%|32.77%|327.7MiB|1000MiB|project-sb-no-vt-1
383.93%|32.77%|327.7MiB|1000MiB|project-sb-no-vt-1
379.02%|32.76%|327.6MiB|1000MiB|project-sb-no-vt-1
379.02%|32.76%|327.6MiB|1000MiB|project-sb-no-vt-1
369.03%|32.76%|327.6MiB|1000MiB|project-sb-no-vt-1
369.03%|32.76%|327.6MiB|1000MiB|project-sb-no-vt-1
392.25%|32.83%|328.3MiB|1000MiB|project-sb-no-vt-1
392.25%|32.83%|328.3MiB|1000MiB|project-sb-no-vt-1
364.42%|32.82%|328.2MiB|1000MiB|project-sb-no-vt-1
364.42%|32.82%|328.2MiB|1000MiB|project-sb-no-vt-1
364.42%|32.82%|328.2MiB|1000MiB|project-sb-no-vt-1
384.92%|32.84%|328.4MiB|1000MiB|project-sb-no-vt-1
384.92%|32.84%|328.4MiB|1000MiB|project-sb-no-vt-1
385.28%|32.84%|328.4MiB|1000MiB|project-sb-no-vt-1
385.28%|32.84%|328.4MiB|1000MiB|project-sb-no-vt-1
363.41%|32.85%|328.5MiB|1000MiB|project-sb-no-vt-1
363.41%|32.85%|328.5MiB|1000MiB|project-sb-no-vt-1